"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"
pgc|l|b|sgL|sgB|absB|Diam|BAratio|PA|T|V_GSR|Dist|sgX|sgY|sgZ|objname|GrpID|Filament|al1950|de1950
%7s|%9.4f|%9.4f|%9.4f|%9.4f|%7.2f|%6.2f|%5.2f|%5d|%3d|%7d|%7d|%7d|%7d|%7d|%14s|%5d|%5s|%9.4f|%9.4f
---|deg|deg|deg|deg|mag|kpc||deg||km/s|km/s|km/s|km/s|km/s||||h|deg
"The Catalogue of Principal Galaxies (PGC) Number"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Absolute magnitude at distance in km/s / 100"|"Intrinsic diameter in kpc at distance in km/s / 100"|"Ratio minor to major axis diameters"|"Position angle on sky N through E"|"Morphological type; see RC3"|"Velocity in Galactic standard of rest; see RC3"|"Distance in km/s; flow model within 3000 km/s"|"SGX component of distance"|"SGY component of distance"|"SGZ component of distance"|"Common name"|"Internal group identifier"|"Internal filament identifier"|"Right Ascension (B1950)"|"Declination (B1950)"
59188|111.7013|32.0596|32.5283|25.0436|-17.76|21.76|0.11|29|6|4490|4490|3430|2187|1901|"UGC   10632"||480.0|16.9411|79.1467
59190|82.9767|38.7505|50.5770|44.3562|-19.77|24.89||||9842|9842|4469|5436|6881|"CGCG 277- 14"||583.0|16.8667|54.9122
59192|86.1651|38.3950|48.2443|42.4932|-17.28|7.17||||3369|3369|1654|1853|2276|"MK      889"||513.0|16.8692|57.4300
59202|20.9724|27.2888|137.0227|57.3270|-18.38|8.34|0.79|||7343|7343|-2900|2703|6181|"CGCG  25- 12"||250.0|16.8483|2.6700
59204|119.5470|28.7657|28.2693|18.6417|-18.66|21.78|0.71||-2|5926|5926|4945|2659|1894|"UGC   10740"||480.0|17.1532|86.6617
59208|39.3716|34.5407|103.6005|60.8289|-19.30|19.68||||9104|9104|-1043|4313|7949|"CGCG 110- 17"|||16.8566|20.0042
59216|330.1773|-9.4094|190.9755|11.4998|-19.28|12.92|0.78|140|-2|2732|2546|-2450|-475|508|"ESO  138-  5"||61.0|16.8258|-58.6944
59232|77.3786|38.9558|54.7894|47.5793|-17.00|5.54|0.87|||3077|3077|1197|1696|2271|"CGCG 252-  9"|||16.8843|50.5525
59236|80.7594|38.7477|52.0531|45.7356|-15.53|4.75|0.75||8|1278|1355|582|746|970|"UGC 10608"||44.0|16.8870|53.1922
59238|65.6268|38.8946|65.8070|53.4898|-20.31|22.46|0.93|40|6|8629|8629|2104|4683|6935|"UGC   10602"||587.0|16.8791|41.4153
59239|9.5003|20.5072|155.1070|50.6650|-16.92|9.08|0.52|||6802|6802|-3911|1815|5261|IRAS16516-0948||250.0|16.8605|-9.8086
59242|97.3337|36.2504|40.6751|35.4999|-19.81|21.71|0.71|||10501|10501|6484|5572|6098|"MCG 11-21-  3"|||16.9099|66.5561
59244|59.4862|38.3086|72.7882|56.1790|-17.32|14.01|0.43|85|7|1086|1352|223|719|1123|"NGC    6255"|816|44.0|16.8833|36.5819
59248|101.9927|35.0873|37.8887|32.2860|-19.14|31.90|0.13|79|6|7735|7735|5161|4016|4132|"UGC   10622"||585.0|16.9215|70.5147
59252|318.8609|-17.7807|197.8338|-0.5152|-18.34|35.77|0.76|10|4|5863|5863|-5581|-1795|-53|"NGC    6209"||115.0|16.8151|-72.5069
59260|69.4713|38.8767|61.7196|51.8135|-18.77|12.43|0.29||5|5117|5117|1499|2786|4022|"MCG  7-35-  6"||513.5|16.8964|44.4017
59262|93.3994|36.9577|43.0115|38.1414|-19.10|17.81||||6928|6928|3984|3717|4279|"NGC    6275"||513.0|16.9188|63.3203
59280|83.1528|38.2706|49.9184|44.5242|-20.28|53.56|0.41|20|4|8780|8780|4031|4790|6157|"IC     1237"||585.0|16.9204|55.1025
59288|86.9198|37.8223|47.1617|42.2900|-19.33|28.87|0.63|147|4|8813|8813|4433|4781|5930|"UGC   10626"||585.0|16.9293|58.1017
59294|351.7767|7.1593|175.6582|34.8179|-18.70|24.34|0.28|99|4|6932|6932|-5675|431|3958|"ESO  453- 11"||217.0|16.8918|-31.5439
59295|327.4760|-11.9071|193.0890|8.5075|-19.77|33.81|0.40|51|5|5054|5054|-4869|-1132|748|"ESO  138-  7"||100.0|16.8694|-62.3250
59297|324.5711|-14.0497|194.8216|5.4018|-20.21|27.88|0.51|77|1|4785|4785|-4605|-1218|450|"ESO  101- 18"||115.0|16.8675|-65.8750
59302|21.7796|26.6036|137.2953|58.3099|-19.31|19.78||||9171|9171|-3540|3268|7803|IRAS16547+0257||257.0|16.9118|2.9594
59305|72.7483|38.5722|58.2850|50.3940|-18.76|37.73|0.15|142|6|7435|7435|2492|4032|5728|"UGC   10627"||586.0|16.9308|46.9514
59312|99.5726|35.4513|39.0149|34.0602|-19.81|25.40|||-5|10514|10514|6768|5483|5888|"NGC    6288"||585.8|16.9617|68.5167
59313|64.9201|38.2695|66.0586|54.3107|-19.38|23.43|0.37|143||8797|8797|2083|4691|7145|"MCG  7-35-  9"||587.0|16.9301|40.8117
59317|65.9929|38.3195|64.8829|53.8255|-19.30|18.04|0.55||6|8725|8725|2186|4663|7043|"MCG  7-35- 10"||587.0|16.9322|41.6547
59319|64.8887|38.2233|66.0541|54.3631|-20.05|14.97|0.62|||9332|9332|2207|4969|7584|"MCG  7-35- 12"||587.0|16.9337|40.7828
59320|79.7993|38.3013|52.2295|46.6008|-19.66|18.07|0.58||5|10753|10753|4525|5840|7813|"CGCG 277- 17"|||16.9426|52.4775
59321|64.9081|38.2219|66.0306|54.3564|-19.95|14.95|1.00|||9314|9314|2205|4960|7569|"MCG  7-35- 11"||587.0|16.9340|40.7978
59322|99.6422|35.4061|38.9414|34.0209|-19.75|24.65|||-5|11200|11200|7220|5835|6266|"NGC    6289"|||16.9667|68.5833
59325|315.1266|-20.4286|200.1114|-4.2944|-19.24|12.80|0.74|118|4|2872|2465|-2308|-845|-185|"IC     4618"|1039|55.0|16.8447|-76.9167
59334|327.2924|-12.2070|193.3626|8.2863|-20.10|27.56|0.46|120|4|4953|4953|-4769|-1132|714|"ESO  101- 20"||100.0|16.8881|-62.6500
59337|328.8052|-11.1153|192.4892|9.9121|-16.03|3.67|0.39|70|10|769|777|-747|-166|133|ESO138-9|-1|19.0|16.8929|-60.8100
59338|0.3313|13.1876|167.8261|43.2052|-18.39|24.79|0.91||3|6011|6011|-4283|924|4115|"ESO  586-  6"||217.0|16.9189|-21.1983
59340|43.3061|34.5273|97.0384|61.5441|-18.98|11.46|0.79|35|5|3118|3118|-182|1475|2741|"NGC    6267"||204.0|16.9339|23.0603
59344|88.0351|37.4450|46.1210|41.7204|-18.91|18.92|0.54||0|5909|5909|3057|3179|3932|"NGC    6285"||513.0|16.9603|59.0308
59348|88.2366|37.4110|45.9754|41.5982|-19.13|21.74|0.42|25|-3|5393|5393|2803|2900|3580|"UGC   10646"||513.0|16.9616|59.1942
59350|39.9797|33.4934|103.1971|61.9750|-19.73|21.15|0.95||5|6164|6164|-661|2820|5441|"IC     1236"||250.0|16.9387|20.1164
59351|354.5176|8.7765|173.7727|37.5873|-18.48|24.02|0.58|102|4|6239|6239|-4915|537|3806|"ESO  453- 13"||217.0|16.9228|-28.4100
59352|87.9937|37.4337|46.1299|41.7545|-19.59|22.04|0.91||4|5726|5726|2960|3079|3813|"NGC    6286"||513.0|16.9624|0.0059
59354|89.0205|37.2966|45.4378|41.1098|-18.67|21.30|0.60|80|3|6209|6209|3283|3333|4082|"UGC   10648"||513.0|16.9638|59.8275
59356|320.0029|-17.3687|197.5507|0.6139|-17.90|18.45|0.13|24|5|4793|4793|-4570|-1445|51|"ESO   69- 16"||115.0|16.8806|-71.3833
59358|82.9134|37.9525|49.7072|44.8620|-19.14|17.53|0.58|50||6144|6144|2816|3322|4334|"UGC   10644"||513.0|16.9595|54.9472
59366|64.1740|37.9448|66.6483|54.8881|-20.00|22.60|1.00|||8886|8886|2026|4692|7269|"MCG  7-35- 13"||587.0|16.9531|40.1953
59370|73.2121|38.2759|57.5374|50.3923|-19.46|23.82|0.85|10|-2|7439|7439|2546|4002|5731|"NGC    6279"||586.0|16.9604|47.3111
59373|329.4241|-10.8092|192.2736|10.5585|-18.30|13.28|0.72|55|6|940|950|-912|-198|174|"ESO  138- 10"|349|19.0|16.9103|-60.1417
59379|20.5837|25.4183|140.3060|58.0629|-19.46|17.64|0.51|49|8|9357|9357|-3809|3162|7941|"CGCG  25- 14"||257.0|16.9454|1.4392
59386|76.6274|38.1637|54.4962|48.5731|-17.14|4.34|1.00||5|1276|1357|522|731|1018|"NGC    6283"|831|44.0|16.9693|49.9950
59388|84.3943|37.6759|48.4593|44.0546|-19.33|28.12|0.39|108|4|8782|8782|4186|4724|6106|"UGC   10655"||585.0|16.9780|56.1392
59389|327.5596|-12.2543|193.4483|8.5376|-20.11|12.71|0.60|175|7|4784|4784|-4602|-1100|710|ESO138-11||100.0|16.9163|-62.4706
59397|318.6737|-18.3478|198.3775|-0.7556|-19.93|15.17|0.76|175|5|4963|4963|-4709|-1564|-65|||115.0|16.8953|-72.9817
59399|330.7263|-9.9687|191.6230|11.9513|-19.22|18.94|0.65|101|8|4593|4593|-4401|-905|951|"ESO  138- 12"||100.0|16.9250|-58.6139
59408|43.6283|34.1047|96.6093|62.0005|-18.24|11.96|0.21|23|10|3106|3106|-168|1448|2742|||204.0|16.9690|23.1800
59413|54.9838|36.4929|78.0525|59.0335|-19.09|10.37|0.54|||8324|8324|887|4190|7137|"MK     1114"|||16.9777|32.7433
59415|73.2489|38.0070|57.2163|50.5694|-19.67|16.93|0.72|||7467|7467|2568|3987|5767|"MCG  8-31- 19"||586.0|16.9867|47.3369
59423|14.6723|21.7350|150.6640|54.8571|-20.10|19.31|0.48|5||9343|9343|-4688|2635|7640|||257.0|16.9692|-5.1008
59426|43.5684|33.9485|96.7609|62.1481|-18.51|15.52|0.59|130|-2|2918|2604|-143|1208|2303|"NGC    6278"|||16.9788|23.0836
59431|83.1581|37.6059|49.1500|44.9033|-19.23|19.99|0.85||5|8818|8818|4085|4724|6225|"MCG  9-28- 15"||585.0|16.9977|55.1719
59433|87.9884|37.1180|45.7646|41.9147|-18.84|10.31|0.68||1|5344|5344|2774|2849|3570|"NGC    6291"||513.0|17.0028|59.0414
59438|356.7768|9.7553|172.5527|39.8285|-19.67|23.73|0.14|10|4|8291|8291|-6314|826|5310|ESO518-6|-1|275.0|16.9661|-26.0450
59441|26.2370|27.6134|130.8309|60.7507|-18.77|15.10||||6816|6816|-2177|2520|5947|"CGCG  53- 23"||250.0|16.9785|6.9303
59445|89.5659|36.8840|44.6828|40.9228|-17.53|5.04|0.78|||3953|3953|2124|2100|2589|"MCG 10-24- 91"||513.0|17.0090|60.3219
59448|94.9655|36.0450|41.3426|37.3249|-18.41|9.96|0.43|||8370|8370|4997|4397|5075|"KAZA    444"||585.0|17.0139|64.7453
59452|93.7665|36.2151|41.9963|38.1761|-18.71|20.78|0.72|165|5|4923|4923|2876|2589|3043|"IC     1241"||513.0|17.0184|63.7611
59453|74.7207|37.8583|55.7516|49.8684|-19.29|18.93|0.83|||7109|7109|2579|3788|5435|"CGCG 252- 16"||586.0|17.0024|48.4967
59455|321.3886|-16.7463|197.0947|2.0047|-20.00|24.77|0.23|158|-2|7916|7916|-7562|-2325|277|"ESO   70-  2"||109.0|16.9331|-69.9431
59460|65.6329|37.5110|64.5481|54.6598|-19.27|34.66|0.15|148|6|8600|8600|2138|4492|7015|"UGC   10664"||587.0|17.0014|41.2992
59473|355.5434|8.4924|174.1625|38.5948|-17.78|14.84|0.34|153|5|4531|4531|-3523|360|2826|"ESO  453- 15"||215.0|16.9864|-27.7783
59475|70.1958|37.6361|59.7412|52.4361|-19.63|19.10|1.00|||8426|8426|2589|4437|6679|"MCG  7-35- 17"||587.0|17.0149|44.9144
59476|90.6626|36.5924|43.8103|40.2757|-18.84|8.57|0.81|||7204|7204|3966|3805|4657|"CGCG 299- 46"||513.0|17.0294|61.2358
59479|2.1835|13.2094|167.6204|45.0026|-19.60|13.62|0.20|136|4|5362|5362|-3703|813|3792|ESO587-2||217.0|16.9936|-19.7322
59490|64.7811|37.2048|65.2652|55.2784|-19.73|15.19|1.00|||9465|9465|2256|4897|7779|"MCG  7-35- 19"||587.0|17.0221|40.5939
59492|322.0547|-16.4719|196.9359|2.7013|-19.91|18.87|0.47|46|5|7769|7769|-7424|-2260|366|"ESO   70-  4"||109.0|16.9602|-69.2636
59497|328.4462|-12.1212|193.4450|9.4144|-17.80|12.75|0.68|11|6|2672|2456|-2357|-563|402|"ESO  138- 13"|1112|61.0|16.9750|-61.6964
59498|90.4970|36.5282|43.8137|40.4234|-18.38|16.29|0.51|105|3|3602|3602|1979|1898|2336|"NGC    6292"||513.0|17.0410|61.1147
59502|72.1308|37.5581|57.7695|51.4976|-19.74|25.96|0.62|||9747|9747|3236|5133|7628|"MCG  8-31- 21"||583.0|17.0286|46.4428
59504|64.9259|37.1800|65.0700|55.2391|-19.57|15.09|0.81||6|8576|8576|2061|4434|7045|"MCG  7-35- 20"||587.0|17.0254|40.7058
59505|90.9895|36.4381|43.4761|40.1095|-19.10|17.85|0.00|||6094|6094|3382|3207|3926|"CGCG 299- 48"||513.0|17.0445|61.5200
59508|78.4293|37.5219|52.3597|47.9304|-19.57|32.27|0.49|99|5|9406|9406|3849|4991|6982|"UGC   10680"||583.0|17.0327|51.4361
59510|89.6201|36.6209|44.3715|40.9799|-19.42|26.90|0.44|80|5|9648|9648|5207|5094|6327|"NGC    6295"||585.0|17.0430|60.4058
59516|88.8618|36.6869|44.8059|41.5130|-18.28|15.92|0.68|35|6|5451|5451|2896|2876|3613|"UGC   10687"||513.0|17.0462|59.7931
59517|2.8352|13.4022|167.2764|45.6197|-19.41|22.27|0.19|13|5|9601|9601|-6550|1479|6862|"ESO  587-  3"||275.0|17.0089|-19.1050
59518|83.1738|37.2310|48.7040|45.1064|-17.88|11.03|0.42|148|6|3444|3444|1604|1826|2440|"MCG  9-28- 19"||513.0|17.0411|55.2164
59519|59.7096|36.5616|71.2506|57.7219|-19.95|15.03|1.00|||7271|7271|1248|3677|6147|"UGC   10677"||587.0|17.0290|36.4881
59521|94.2433|35.8916|41.4248|37.9508|-19.39|20.59||||8266|8266|4888|4313|5083|"CGCG 321- 12"||585.0|17.0554|64.2019
59525|91.6820|36.2961|42.9918|39.6702|-19.18|10.50|0.72|90|-2|5198|5198|2927|2728|3318|"NGC    6297"||513.0|17.0514|62.0933
59549|21.2797|24.2620|141.5564|59.2085|-18.83|15.56||||7007|7007|-2809|2230|6019|"CGCG  25- 19"||250.0|17.0333|1.4144
59551|104.0291|33.7409|35.8390|31.0246|-16.94|8.02|0.19|8|4|1266|1475|1025|740|760|"UGC   10713"||44.0|17.0905|72.5125
59559|24.3527|25.6907|136.0582|60.7018|-18.77|15.10||||6812|6812|-2400|2313|5941|"CGCG  53- 30"||250.0|17.0397|4.5433
59560|66.4979|36.9775|63.0451|54.7253|-21.03|45.60|0.68|105|-5|8581|8581|2246|4417|7005|"UGC   10693"||587.0|17.0548|41.9322
59561|92.1722|36.0537|42.4885|39.4158|-18.94|11.84|0.68|||6135|6135|3495|3201|3895|"NGC    6299"||513.0|17.0764|62.5239
59566|29.8278|28.1277|125.2577|62.5822|-18.99|11.87|0.98||8|6591|6591|-1752|2478|5851|"MCG  2-43-  6"||250.0|17.0433|9.9989
59571|67.9794|37.0478|61.4608|53.9824|-20.55|39.81|0.74|110|-5|8602|8602|2417|4444|6958|"UGC   10695"||587.0|17.0582|43.1167
59583|107.3768|32.7756|34.0332|28.5125|-19.12|14.42|0.58|78|4|5054|5054|3680|2485|2412|"NGC    6324"||480.0|17.1170|75.4714
59602|27.7952|26.9175|129.8853|62.2336|-19.07|13.15|1.00|||6817|6817|-2036|2437|6032|"MCG  1-43-  9"||250.0|17.0626|7.8467
59612|30.4411|28.0194|124.5050|63.0137|-19.53|11.50|0.89|140|5|6389|6389|-1642|2389|5693|"UGC   10699"||250.0|17.0659|10.4394
59616|62.2077|36.2696|67.6513|57.1131|-19.80|26.85|0.37|32|4|8386|8386|1732|4212|7042|"UGC   10706"||587.0|17.0795|38.4286
59620|56.5309|35.4596|75.1209|59.6676|-19.52|17.01|0.63|||9232|9232|1197|4506|7968|"CGCG 197- 34"|||17.0788|33.7581
59624|79.3359|36.9442|51.0127|47.7376|-18.74|14.88||||7042|7042|2980|3681|5212|"CGCG 277- 26"||586.0|17.0924|52.1756
59625|25.0096|25.4882|135.6404|61.2943|-18.81|21.75|0.43||5|6951|6951|-2387|2334|6097|"CGCG  54-  1"||250.0|17.0703|4.9700
59626|59.1697|35.8373|71.4691|58.5593|-19.86|16.35|0.76|||8476|8476|1405|4192|7231|"MCG  6-37- 29"||587.0|17.0819|35.9350
59627|56.9978|35.4958|74.4323|59.5114|-19.54|22.19||||9282|9282|1264|4537|7998|"IZW     173"|||17.0821|34.1378
59630|58.9160|35.7843|71.7944|58.6876|-19.32|23.52|0.31|125|5|7179|7179|1166|3544|6133|"UGC   10708"||587.0|17.0832|35.7231
59634|68.1012|36.7203|60.9938|54.1866|-20.04|38.74|0.25|150|3|8566|8566|2431|4384|6946|"UGC   10710"||587.0|17.0888|43.1858
59635|328.4532|-12.6691|193.9951|9.3388|-17.45|14.86|0.11|135|7|1396|1339|-1282|-320|217|"ESO  138- 14"|350|16.0|17.0381|-62.0131
59637|320.9994|-17.5704|197.8662|1.5329|-19.49|12.09|0.65|90||4647|4647|-4421|-1425|124|"ESO   70-  5"||115.0|17.0256|-70.7167
59654|90.0002|36.0331|43.4695|41.0043|-18.06|9.24|0.31|166|3|3165|3165|1733|1643|2077|"NGC    6306"||513.0|17.1164|60.7908
59655|90.0285|36.0200|43.4402|40.9898|-19.12|14.36|0.79|145|0|3249|3249|1781|1686|2131|"NGC    6307"||513.0|17.1176|60.8153
59659|330.3824|-11.4763|193.0911|11.3859|-20.30|29.06|0.13|93|6|4544|4544|-4339|-1009|897|ESO138-15|-1|100.0|17.0561|-59.7850
59662|90.3142|35.9511|43.2215|40.8142|-18.99|20.56|0.20|69|4|3611|3611|1992|1872|2360|"NGC    6310"||513.0|17.1227|61.0536
59669|93.5188|35.4986|41.2606|38.6465|-21.71|24.18|0.65||4|8279|8279|4861|4264|5170|"UGC   10731"||585.0|17.1300|63.6936
59671|67.9254|36.4433|60.9017|54.4927|-19.73|28.40|0.68|30|-5|8090|8090|2285|4106|6586|"UGC   10722"||587.0|17.1129|43.0203
59672|21.4277|23.2393|143.1541|59.8472|-19.30|19.68||||9105|9105|-3660|2743|7873|"CGCG  26-  2"||257.0|17.0970|1.0275
59675|358.1081|8.6776|173.9837|41.1338|-19.23|24.05|0.47|76|5|8826|8547|-6402|675|5623|"ESO  519-  3"||270.0|17.0883|-25.6333
59676|47.0602|33.0536|90.5772|63.2648|-18.60|9.83|0.48|110|5|3069|3069|-14|1381|2741|"UGC   10721"||204.0|17.1064|25.5808
59677|65.2506|36.2058|63.7583|55.9227|-19.94|27.10|||-5|8487|8487|2103|4265|7030|"MCG  7-35- 33"||587.0|17.1134|40.8522
59679|91.5769|35.6987|42.3614|39.9756|-18.91|18.06|0.37||3|7966|7966|4511|4113|5118|"MCG 10-24-101"||585.0|17.1373|62.1042
59681|67.1646|36.3470|61.6561|54.9337|-20.05|57.01|0.62|115|5|8523|8523|2325|4310|6976|"NGC    6301"||587.0|17.1162|42.4014
59683|48.3365|33.3357|88.2230|62.9694|-18.25|4.97|1.00|||5139|5139|72|2334|4578|"MCG  4-40- 20"||205.0|17.1095|26.6847
59688|24.4326|24.6411|137.7067|61.3875|-19.62|19.08|0.65|130|4|6843|6843|-2424|2205|6007|"IC     1242"||250.0|17.1037|4.1092
59690|24.2908|24.5613|137.9992|61.3297|-19.98|17.06|0.78|130|3|6865|6865|-2448|2204|6023|"NGC    6296"||250.0|17.1043|3.9578
59704|65.4352|36.0752|63.4078|55.9504|-19.44|21.11||||8458|8458|2120|4235|7008|"CGCG 225- 51"||587.0|17.1263|40.9844
59712|65.0523|36.0038|63.8025|56.1793|-19.23|19.01||||8829|8829|2170|4409|7335|"CGCG 225- 52"||587.0|17.1292|40.6683
59713|318.8396|-19.0725|199.1153|-0.6807|-19.79|27.41|0.41|53|6|5042|5042|-4764|-1651|-60|"ESO   44-  1"||115.0|17.0536|-73.2550
59714|57.5600|35.0008|73.2449|59.8217|-18.88|9.94|0.72|||7278|7278|1055|3503|6292|"CGCG 198- 12"||587.0|17.1286|34.4886
59716|59.9584|35.3313|69.9481|58.7632|-19.62|22.53|0.74|30|6|8460|8460|1504|4121|7233|"UGC   10732"||587.0|17.1324|36.4764
59717|92.6873|35.4373|41.5389|39.2912|-20.23|11.52|1.00||-5|8438|8438|4888|4331|5343|"NGC    6319"||585.0|17.1553|63.0350
59723|65.0546|35.9035|63.7017|56.2626|-19.55|18.73|0.46||0|8458|8458|2081|4211|7034|"MCG  7-35- 35"||587.0|17.1379|40.6575
59726|42.8641|31.4621|98.9572|64.5069|-17.80|9.30||||4568|4568|-306|1942|4123|"CGCG 139- 41"||205.0|17.1341|21.7111
59727|55.2944|34.4878|76.4889|60.8969|-19.92|27.10|0.66|125|-5|8862|8862|1007|4191|7743|"UGC   10733"|||17.1370|32.5606
59729|67.2393|36.0661|61.2827|55.1253|-19.93|17.93|0.93||6|8476|8476|2329|4250|6954|"MCG  7-35- 37"||587.0|17.1419|42.4322
59735|103.8436|33.3428|35.4327|31.2725|-16.47|6.30|0.68|70|6|1358|1492|1039|739|774|"IC     1251"||44.0|17.1846|72.4694
59737|328.8198|-12.9004|194.2821|9.6568|-19.12|14.18|0.42|123|6|4746|4746|-4534|-1154|796|"ESO  138- 16"||100.0|17.0942|-61.8547
59739|74.6198|36.3867|54.1875|50.9542|-19.59|29.69|0.31|156|2|7538|7538|2779|3851|5854|"NGC    6313"||586.0|17.1501|48.3925
59740|89.0243|35.6291|43.4718|41.8927|-18.97|19.44|0.95||5|5167|5167|2791|2646|3450|"IC     1248"||513|17.1834|60.0550
59742|103.7183|33.3543|35.4759|31.3711|-18.84|12.65|0.91|120|0|1424|1434|997|710|746|"NGC    6340"|817|44.0|17.1880|72.3653
59744|68.4850|36.0905|59.9156|54.4980|-19.21|15.22|0.66|||8452|8452|2461|4247|6881|"CGCG 225- 58"||587.0|17.1489|43.4364
59746|59.8605|35.1421|69.9359|58.9685|-19.91|23.29|1.00||2|8353|8353|1477|4045|7157|"IC     1244"||587.0|17.1466|36.3639
59767|85.2780|36.0280|45.9906|44.3433|-19.51|21.86||||8736|8736|4341|4493|6106|"MCG 10-24-102"||585.0|17.1686|56.9939
59769|26.4983|24.9546|134.7293|62.6783|-18.67|34.64|0.16|49|4|6826|6826|-2205|2226|6064|"UGC   10738"||250.0|17.1441|5.9128
59775|26.0927|24.7175|135.6160|62.5505|-18.48|13.07||||6853|6853|-2258|2210|6081|"CGCG  54-  6"||250.0|17.1465|5.4772
59777|76.6774|36.2563|52.2833|49.8178|-19.27|19.39||||8588|8588|3390|4383|6561|"CGCG 252- 24"||587.0|17.1671|50.0469
59782|28.6680|25.8256|130.3999|63.5561|-17.35|9.04|0.35|113|3|2677|2697|-778|915|2415|"UGC   10743"|1319|73.0|17.1517|8.0544
59783|103.8007|33.2476|35.3350|31.3306|-15.97|7.45|0.46|32|3|1525|1573|1096|777|818|"IC     1254"||44.0|17.2071|72.4586
59789|76.1530|36.1989|52.6510|50.1733|-19.60|30.24|0.39|135|4|8814|8814|3425|4488|6769|"UGC   10750"||587.0|17.1724|49.6231
59794|67.6741|35.7950|60.5056|55.1326|-19.52|17.38|0.63|||8407|8407|2366|4183|6898|"MCG  7-35- 41"||587.0|17.1696|42.7536
59795|86.0730|35.8632|45.3333|43.8757|-19.63|23.21|||-5|9257|9257|4691|4746|6416|"MCG 10-24-104"||585.0|17.1830|57.6483
59799|61.4271|35.0974|67.6817|58.4457|-19.27|11.09|0.65||6|8309|8309|1651|4023|7080|"MCG  6-38-  4"||587.0|17.1688|37.6178
59805|41.5000|30.6181|102.0591|65.0847|-17.79|8.80|0.39||5|4354|4354|-383|1794|3949|"CGCG 111- 11"||205.0|17.1622|20.3233
59815|80.5548|36.0685|49.0977|47.4921|-19.52|23.45|0.95||5|9222|9222|4080|4710|6798|"UGC   10758"||585.0|17.1857|53.1781
59819|112.5363|30.8464|31.0953|24.5085|-17.61|8.46||||4008|4008|3123|1883|1663|"CGCG 356-  1"||480.0|17.2731|80.2364
59824|58.9158|34.6171|70.9075|59.7630|-19.20|11.99|0.66||6|7827|7827|1289|3725|6762|"CGCG 198- 19"||587.0|17.1771|35.5042
59827|0.5736|9.2710|173.2027|43.5731|-20.79|41.44|||-5|8404|8404|-6046|721|5793||-1|275.0|17.1571|-23.3097
59828|59.4417|34.6872|70.1796|59.5247|-19.72|18.64|0.85|||8222|8222|1414|3923|7086|"MCG  6-38-  5"||587.0|17.1783|35.9422
59836|319.5971|-18.9094|199.0353|0.0496|-18.01|19.39|0.93||8|5036|5036|-4761|-1642|4|"ESO   44-  4"||115.0|17.1097|-72.5631
59838|44.8776|31.4528|94.9909|64.7592|-20.29|29.97|0.46|175|1|6782|6782|-252|2881|6134|"NGC    6314"||250.0|17.1759|23.3292
59843|44.8355|31.4119|95.0845|64.7962|-20.03|20.22|1.00||4|6924|6924|-261|2937|6265|"NGC    6315"||250.0|17.1779|23.2819
59845|67.8449|35.6116|60.1179|55.1944|-20.08|24.29|0.89||-5|8320|8320|2366|4118|6831|"UGC   10759"||587.0|17.1875|42.8719
59846|69.4936|35.7361|58.4424|54.2599|-19.84|29.20|0.91||5|8319|8319|2543|4141|6752|"UGC   10760"||587.0|17.1884|44.2169
59852|64.7420|35.2911|63.4845|56.9148|-20.33|30.39|0.69|85|4|8460|8460|2062|4132|7088|"NGC    6320"||587.0|17.1881|40.3242
59853|42.7295|30.7525|99.5350|65.1825|-18.72|14.73||||6658|6658|-463|2756|6043|"CGCG 139- 46"||250.0|17.1794|21.3617
59857|67.3306|35.5211|60.6082|55.5193|-19.27|15.76|0.76|||8358|8358|2322|4123|6890|"MCG  7-35- 47"||587.0|17.1916|42.4461
59862|88.1774|35.5253|43.7816|42.5504|-16.61|4.14|0.42||10|1364|1519|808|774|1027|"UGC   10770"||44.0|17.2066|59.3806
59868|69.0397|35.6161|58.7994|54.5874|-19.72|24.32|0.34|172|2|7955|7955|2388|3943|6483|"NGC    6323"||587.0|17.1964|43.8386
59873|67.9610|35.5116|59.8799|55.2159|-19.88|23.23|0.93||4|7596|7596|2175|3748|6239|"UGC   10765"||587.0|17.1977|42.9550
59879|75.6261|35.8667|52.7085|50.7122|-19.45|22.67|0.78|||8913|8913|3420|4490|6898|"MCG  8-31- 34"||587.0|17.2053|49.1886
59880|331.4381|-11.6637|193.4472|12.3777|-19.37|19.02|0.93||5|3264|3264|-3101|-741|700|"ESO  138- 17"||101.0|17.1544|-59.0483
59884|315.1118|-21.4572|201.1376|-4.3999|-21.12|60.08|0.76|145|6|5051|5051|-4697|-1816|-387|"IC     4633"||115.0|17.1031|-77.4833
59887|330.0114|-12.6416|194.2062|10.8450|-18.52|10.65|0.40|12|1|4809|4809|-4579|-1159|905|"ESO  138- 18"||100.0|17.1564|-60.7517
59893|87.5436|35.4479|44.0236|43.0412|-19.49|20.55|0.49|165|4|9066|9066|4765|4605|6188|"UGC   10774"||585.0|17.2227|58.8736
